BASE_YM,SIGNGU_NM,SIGNGU_CD,AVRG_INCOME_PRICE
"202411","경기도 용인시 수지구","41465","48951"
"202411","경기도 용인시 처인구","41461","36169"
"202411","경기도 의왕시","41430","40979"
"202411","경기도 의정부시","41150","34914"
"202411","경기도 이천시","41500","38083"
"202411","경기도 파주시","41480","37597"
"202411","경기도 평택시","41220","37639"
"202411","경기도 포천시","41650","32583"
"202411","경기도 하남시","41450","42301"
"202411","경기도 화성시","41590","42811"
"202411","경상남도 거제시","48310","38975"
"202411","경상남도 거창군","48880","34124"
"202411","경상남도 고성군","48820","33891"
"202411","경상남도 김해시","48250","36506"
"202411","경상남도 남해군","48840","31841"
"202411","경상남도 밀양시","48270","33019"
"202411","경상남도 사천시","48240","35373"
"202411","경상남도 산청군","48860","32856"
"202411","경상남도 양산시","48330","36077"
"202411","경상남도 의령군","48720","32606"
"202411","경상남도 진주시","48170","36780"
"202411","경상남도 창녕군","48740","33076"
"202411","경상남도 창원시 마산합포구","48125","34792"
"202411","경상남도 창원시 마산회원구","48127","35068"
"202411","경상남도 창원시 성산구","48123","41773"
"202411","경상남도 창원시 의창구","48121","36501"
"202411","경상남도 창원시 진해구","48129","37300"
"202411","경상남도 통영시","48220","33889"
"202411","경상남도 하동군","48850","32484"
"202411","경상남도 함안군","48730","34129"
"202411","경상남도 함양군","48870","32956"
"202411","경상남도 합천군","48890","32445"
"202411","경상북도 경산시","47290","32795"
"202411","경상북도 경주시","47130","34754"
"202411","경상북도 고령군","47830","32607"
"202411","경상북도 구미시","47190","37919"
"202411","경상북도 김천시","47150","35363"
"202411","경상북도 문경시","47280","33402"
"202411","경상북도 봉화군","47920","32899"
"202411","경상북도 상주시","47250","33039"
"202411","경상북도 성주군","47840","32696"
"202411","경상북도 안동시","47170","34271"
"202411","경상북도 영덕군","47770","31243"
"202411","경상북도 영양군","47760","32173"
"202411","경상북도 영주시","47210","34257"
"202411","경상북도 영천시","47230","33082"
"202411","경상북도 예천군","47900","35572"
"202411","경상북도 울릉군","47940","34516"
"202411","경상북도 울진군","47930","34745"
"202411","경상북도 의성군","47730","31504"
"202411","경상북도 청도군","47820","32561"
"202411","경상북도 청송군","47750","32518"
"202411","경상북도 칠곡군","47850","34899"
"202411","경상북도 포항시 남구","47111","37839"
"202411","경상북도 포항시 북구","47113","37241"
"202411","광주광역시 광산구","29200","36568"
"202411","광주광역시 남구","29155","38317"
"202411","광주광역시 동구","29110","37177"
"202411","광주광역시 북구","29170","35693"
"202411","광주광역시 서구","29140","38145"
"202411","대구광역시 군위군","27720","32337"
"202411","대구광역시 남구","27200","31941"
"202411","대구광역시 달서구","27290","35512"
"202411","대구광역시 달성군","27710","35922"
"202411","대구광역시 동구","27140","34853"
"202411","대구광역시 북구","27230","34615"
"202411","대구광역시 서구","27170","31355"
"202411","대구광역시 수성구","27260","42992"
"202411","대구광역시 중구","27110","37473"
"202411","대전광역시 대덕구","30230","34341"
"202411","대전광역시 동구","30110","31961"
"202411","대전광역시 서구","30170","37716"
"202411","대전광역시 유성구","30200","42382"
"202411","대전광역시 중구","30140","35234"
"202411","부산광역시 강서구","26440","40779"
"202411","부산광역시 금정구","26410","34792"
"202411","부산광역시 기장군","26710","36624"
"202411","부산광역시 남구","26290","36585"
"202411","부산광역시 동구","26170","32483"
"202411","부산광역시 동래구","26260","38322"
"202411","부산광역시 부산진구","26230","34316"
"202411","부산광역시 북구","26320","35089"
"202411","부산광역시 사상구","26530","32491"
"202411","부산광역시 사하구","26380","33783"
"202411","부산광역시 서구","26140","33509"
"202411","부산광역시 수영구","26500","36092"
"202411","부산광역시 연제구","26470","36741"
"202411","부산광역시 영도구","26200","31601"
"202411","부산광역시 중구","26110","31062"
"202411","부산광역시 해운대구","26350","41868"
"202411","서울특별시 강남구","11680","60716"
"202411","서울특별시 강동구","11740","40229"
"202411","서울특별시 강북구","11305","33390"
"202411","서울특별시 강서구","11500","38867"
"202411","서울특별시 관악구","11620","34736"
"202411","서울특별시 광진구","11215","37421"
"202411","서울특별시 구로구","11530","35305"
"202411","서울특별시 금천구","11545","33574"
"202411","서울특별시 노원구","11350","37635"
"202411","서울특별시 도봉구","11320","35244"
"202411","서울특별시 동대문구","11230","34936"
"202411","서울특별시 동작구","11590","39130"
"202411","서울특별시 마포구","11440","41639"
"202411","서울특별시 서대문구","11410","37567"
"202411","서울특별시 서초구","11650","59544"
"202411","서울특별시 성동구","11200","42651"
"202411","서울특별시 성북구","11290","38728"
"202411","서울특별시 송파구","11710","46730"
"202411","서울특별시 양천구","11470","43168"
"202411","서울특별시 영등포구","11560","40186"
"202411","서울특별시 용산구","11170","61913"
"202411","서울특별시 은평구","11380","36631"
"202411","서울특별시 종로구","11110","42592"
"202411","서울특별시 중구","11140","39267"
"202411","서울특별시 중랑구","11260","34549"
"202411","없음(세종시)","36110","43178"
"202411","울산광역시 남구","31140","41266"
"202411","울산광역시 동구","31170","37974"
"202411","울산광역시 북구","31200","42468"
"202411","울산광역시 울주군","31710","37984"
"202411","울산광역시 중구","31110","39492"
"202411","인천광역시 강화군","28710","33293"
"202411","인천광역시 계양구","28245","34470"
"202411","인천광역시 남동구","28200","35523"
"202411","인천광역시 동구","28140","33326"
"202411","인천광역시 미추홀구","28177","33460"
"202411","인천광역시 부평구","28237","35077"
"202411","인천광역시 서구","28260","37888"
"202411","인천광역시 연수구","28185","42935"
"202411","인천광역시 옹진군","28720","33413"
"202411","인천광역시 중구","28110","37453"
"202411","전라남도 강진군","46810","32862"
"202411","전라남도 고흥군","46770","31230"
"202411","전라남도 곡성군","46720","32945"
"202411","전라남도 광양시","46230","39041"
"202411","전라남도 구례군","46730","32665"
"202411","전라남도 나주시","46170","35930"
"202411","전라남도 담양군","46710","34624"
"202411","전라남도 목포시","46110","34399"
"202411","전라남도 무안군","46840","35813"
"202411","전라남도 보성군","46780","31738"
"202411","전라남도 순천시","46150","37753"
"202411","전라남도 신안군","46910","31434"
"202411","전라남도 여수시","46130","37664"
"202411","전라남도 영광군","46870","34264"
"202411","전라남도 영암군","46830","33380"
"202411","전라남도 완도군","46890","32170"
"202411","전라남도 장성군","46880","33301"
"202411","전라남도 장흥군","46800","33065"
"202411","전라남도 진도군","46900","32158"
"202411","전라남도 함평군","46860","32795"
"202411","전라남도 해남군","46820","32108"
"202411","전라남도 화순군","46790","33842"
"202411","전북특별자치도 고창군","52790","33269"
"202411","전북특별자치도 군산시","52130","35401"
"202411","전북특별자치도 김제시","52210","32421"
"202411","전북특별자치도 남원시","52190","33547"
"202411","전북특별자치도 무주군","52730","32444"
"202411","전북특별자치도 부안군","52800","31963"
"202411","전북특별자치도 순창군","52770","32794"
"202411","전북특별자치도 완주군","52710","35415"
"202411","전북특별자치도 익산시","52140","34479"
"202411","전북특별자치도 임실군","52750","32561"
"202411","전북특별자치도 장수군","52740","32631"
"202411","전북특별자치도 전주시 덕진구","52113","37340"
"202411","전북특별자치도 전주시 완산구","52111","36692"
"202411","전북특별자치도 정읍시","52180","33449"
"202411","전북특별자치도 진안군","52720","32520"
"202411","제주특별자치도 서귀포시","50130","36226"
"202411","제주특별자치도 제주시","50110","35661"
"202411","충청남도 계룡시","44250","40404"
"202411","충청남도 공주시","44150","33493"
"202411","충청남도 금산군","44710","32643"
"202411","충청남도 논산시","44230","33041"
"202411","충청남도 당진시","44270","38461"
"202411","충청남도 보령시","44180","34193"
"202411","충청남도 부여군","44760","32425"
"202411","충청남도 서산시","44210","38661"
"202411","충청남도 서천군","44770","32283"
"202411","충청남도 아산시","44200","39132"
"202411","충청남도 예산군","44810","33904"
"202411","충청남도 천안시 동남구","44131","35331"
"202411","충청남도 천안시 서북구","44133","40091"
"202411","충청남도 청양군","44790","32841"
"202411","충청남도 태안군","44825","33588"
"202411","충청남도 홍성군","44800","35471"
"202411","충청북도 괴산군","43760","32218"
"202411","충청북도 단양군","43800","32897"
"202411","충청북도 보은군","43720","32685"
"202411","충청북도 영동군","43740","33223"
"202411","충청북도 옥천군","43730","32474"
"202411","충청북도 음성군","43770","33407"
"202411","충청북도 제천시","43150","34545"
"202411","충청북도 증평군","43745","35449"
"202411","충청북도 진천군","43750","35656"
"202411","충청북도 청주시 상당구","43111","36643"
"202411","충청북도 청주시 서원구","43112","36276"
"202411","충청북도 청주시 청원구","43114","37929"
"202411","충청북도 청주시 흥덕구","43113","39687"
"202411","충청북도 충주시","43130","34617"
